"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Exit,outcome
137,865.0,45.0,19.0,28.0,13.0,1.0,1.0,18.0,True,False,True
138,3.0,6.0,81.0,3552.0,16.0,5.0,8.0,13.0,True,False,True
139,774.0,70.0,30.0,202.0,13.0,1.0,1.0,10.0,True,False,True
140,3.0,9.0,126.0,3658.0,19.0,3.0,5.0,7.0,True,False,True
141,743.0,56.0,23.0,96.0,16.0,2.0,1.0,14.0,True,False,True
142,2.0,7.0,160.0,3885.0,20.0,4.0,5.0,2.0,True,False,True
143,780.0,21.0,34.0,786.0,22.0,1.0,1.0,10.0,True,False,True
144,2.0,2.0,70.0,4219.0,19.0,3.0,2.0,2.0,True,False,True
145,0.0,0.0,30.0,9483.0,109.0,1.0,1.0,1.0,True,True,False
146,1820.0,9.0,2.0,1.0,0.0,0.0,14.0,1910.0,True,True,False
147,0.0,1.0,22.0,9418.0,123.0,1.0,1.0,1.0,True,True,False
148,1477.0,12.0,2.0,1.0,0.0,0.0,9.0,1905.0,True,True,False
149,0.0,0.0,20.0,9169.0,101.0,1.0,1.0,1.0,True,True,False
150,1208.0,7.0,1.0,1.0,1.0,0.0,82.0,1598.0,True,True,False
151,0.0,1.0,16.0,8758.0,92.0,0.0,0.0,1.0,True,True,False
152,1144.0,11.0,2.0,1.0,1.0,1.0,72.0,1609.0,True,True,False
153,0.0,0.0,16.0,8510.0,92.0,1.0,0.0,1.0,True,True,False
154,1160.0,10.0,1.0,1.0,1.0,1.0,76.0,1655.0,True,True,False
155,0.0,0.0,16.0,8092.0,83.0,1.0,0.0,1.0,True,True,False
156,1142.0,8.0,1.0,1.0,1.0,0.0,83.0,1637.0,True,True,False
157,0.0,0.0,16.0,7436.0,65.0,1.0,1.0,1.0,True,True,False
158,1237.0,15.0,3.0,2.0,1.0,1.0,80.0,1661.0,True,True,False
159,1166.0,121.0,19.0,17.0,3.0,1.0,3.0,35.0,True,False,True
160,1.0,3.0,57.0,3808.0,50.0,2.0,2.0,3.0,True,False,True
161,1106.0,110.0,42.0,59.0,3.0,1.0,1.0,20.0,True,False,True
162,26.0,13.0,66.0,3353.0,42.0,4.0,2.0,16.0,True,False,True
163,852.0,81.0,52.0,157.0,8.0,0.0,1.0,10.0,True,False,True
164,10.0,25.0,114.0,3521.0,36.0,5.0,5.0,7.0,True,False,True
165,790.0,49.0,26.0,147.0,17.0,1.0,1.0,10.0,True,False,True
166,12.0,40.0,132.0,3735.0,27.0,14.0,10.0,5.0,True,False,True
167,958.0,33.0,19.0,101.0,29.0,1.0,1.0,12.0,True,False,True
168,1.0,10.0,192.0,4154.0,27.0,4.0,2.0,2.0,True,False,True
169,764.0,24.0,78.0,910.0,12.0,0.0,0.0,8.0,True,False,True
170,4.0,7.0,123.0,4098.0,35.0,4.0,4.0,37.0,True,False,True
171,3.0,1.0,13.0,3521.0,71.0,1.0,1.0,7.0,True,True,False
172,1290.0,12.0,1.0,2.0,1.0,0.0,4.0,2057.0,True,True,False
173,4.0,1.0,11.0,3533.0,69.0,1.0,1.0,6.0,True,True,False
174,834.0,9.0,2.0,3.0,0.0,0.0,4.0,2059.0,True,True,False
175,4.0,1.0,10.0,3543.0,66.0,1.0,1.0,7.0,True,True,False
176,1385.0,13.0,2.0,3.0,0.0,0.0,5.0,2021.0,True,True,False
177,3.0,1.0,12.0,3472.0,58.0,1.0,1.0,6.0,True,True,False
178,1347.0,8.0,3.0,2.0,1.0,0.0,11.0,1900.0,True,True,False
179,3.0,1.0,12.0,3421.0,64.0,1.0,1.0,5.0,True,True,False
180,1101.0,8.0,2.0,2.0,1.0,1.0,56.0,1645.0,True,True,False
181,1.0,1.0,31.0,8361.0,66.0,1.0,1.0,1.0,True,True,False
