"",index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
58,18,118.0,119.0,10.0,5.0,0.0,0.0,0.0,17.0,True,2,True,4.0,NT-30-36,False
59,19,0.0,0.0,1.0,9349.0,14067.0,1.0,0.0,10.0,True,4,True,1.0,NT-30-36,False
60,20,148.0,104.0,6.0,3.0,2.0,0.0,1.0,17.0,True,2,True,4.0,NT-30-38,False
61,21,0.0,0.0,0.0,9822.0,14584.0,1.0,0.0,10.0,True,4,True,1.0,NT-30-38,False
62,22,66.0,109.0,4.0,5.0,0.0,0.0,0.0,19.0,True,2,True,4.0,NT-30-40,False
63,23,209.0,205.0,77.0,74.0,12.0,0.0,0.0,22.0,True,2,True,4.0,NT-45-30,False
64,24,0.0,0.0,0.0,7912.0,11983.0,0.0,0.0,2.0,True,4,True,1.0,NT-45-30,False
65,0,138.0,42.0,6.0,4.0,2.0,0.0,0.0,21.0,True,2,False,NaN,35-35,True
66,1,1.0,6.0,77.0,1116.0,12341.0,29.0,13.0,18.0,True,4,False,NaN,35-35,True
67,2,156.0,49.0,5.0,5.0,2.0,0.0,0.0,12.0,True,2,False,NaN,36-37,True
68,3,1.0,19.0,20.0,867.0,9526.0,19.0,8.0,13.0,True,4,False,NaN,36-37,True
69,4,38.0,35.0,7.0,36.0,93.0,13.0,8.0,30.0,True,2,False,NaN,37-39,True
70,5,0.0,15.0,12.0,1169.0,10827.0,19.0,4.0,7.0,True,4,False,NaN,37-39,True
71,6,85.0,31.0,5.0,34.0,95.0,15.0,10.0,37.0,True,2,False,NaN,38-41,True
72,7,1.0,13.0,14.0,757.0,5876.0,12.0,10.0,9.0,True,4,False,NaN,38-41,True
73,8,45.0,30.0,5.0,55.0,118.0,14.0,14.0,33.0,True,2,False,NaN,39-43,True
74,9,0.0,15.0,200.0,466.0,1612.0,17.0,14.0,20.0,True,4,False,NaN,39-43,True
75,10,70.0,34.0,8.0,60.0,90.0,9.0,10.0,31.0,True,2,False,NaN,40-45,True
76,11,1.0,23.0,30.0,56.0,566.0,28.0,20.0,35.0,True,4,False,NaN,40-45,True
77,12,231.0,85.0,5.0,9.0,2.0,0.0,0.0,14.0,True,2,True,4.0,NT-40-40,False
78,13,116.0,104.0,5.0,25.0,4.0,0.0,2.0,23.0,True,2,True,4.0,NT-40-42,False
79,14,291.0,120.0,13.0,3.0,1.0,0.0,1.0,10.0,True,2,True,4.0,NT-40-44,False
80,15,368.0,84.0,9.0,3.0,1.0,0.0,2.0,31.0,True,2,True,4.0,NT-40-46,False
81,16,258.0,82.0,5.0,4.0,2.0,1.0,1.0,28.0,True,2,True,4.0,NT-40-48,False
82,17,206.0,221.0,24.0,74.0,2.0,0.0,3.0,121.0,True,2,True,4.0,NT-40-50,False
83,18,136.0,77.0,5.0,4.0,2.0,0.0,1.0,19.0,True,2,True,4.0,NT-45-30,False
84,19,0.0,0.0,0.0,7871.0,13203.0,0.0,0.0,0.0,True,4,True,1.0,NT-45-30,False
85,0,124.0,39.0,8.0,32.0,18.0,6.0,6.0,72.0,True,2,False,NaN,35-40,True
86,1,0.0,3.0,4.0,2449.0,9784.0,8.0,3.0,33.0,True,4,False,NaN,35-40,True
87,2,55.0,37.0,12.0,26.0,42.0,7.0,6.0,16.0,True,2,False,NaN,36-42,True
88,3,1.0,8.0,33.0,887.0,5587.0,16.0,7.0,16.0,True,4,False,NaN,36-42,True
89,4,97.0,37.0,7.0,58.0,47.0,2.0,1.0,11.0,True,2,False,NaN,37-44,True
90,5,201.0,30.0,8.0,52.0,22.0,5.0,3.0,19.0,True,2,False,NaN,38-46,True
91,6,0.0,20.0,44.0,250.0,4494.0,46.0,23.0,32.0,True,4,False,NaN,38-46,True
92,7,87.0,36.0,14.0,87.0,32.0,0.0,0.0,14.0,True,2,False,NaN,39-48,True
93,8,93.0,39.0,13.0,71.0,25.0,2.0,4.0,22.0,True,2,False,NaN,40-50,True
94,9,0.0,39.0,24.0,227.0,960.0,72.0,16.0,23.0,True,4,False,NaN,40-50,True
95,10,105.0,155.0,15.0,11.0,1.0,0.0,0.0,16.0,True,2,True,4.0,NT-26-45,False
96,11,250.0,108.0,10.0,12.0,1.0,0.0,1.0,15.0,True,2,True,4.0,NT-45-30,False
97,12,0.0,0.0,0.0,8816.0,12885.0,0.0,0.0,0.0,True,4,True,1.0,NT-45-30,False
98,13,331.0,135.0,10.0,38.0,3.0,0.0,0.0,21.0,True,2,True,4.0,NT-47-32,False
99,14,0.0,0.0,0.0,9191.0,14238.0,0.0,0.0,0.0,True,4,True,1.0,NT-47-32,False
100,15,306.0,149.0,7.0,53.0,10.0,0.0,4.0,85.0,True,2,True,4.0,NT-49-34,False
101,16,0.0,0.0,0.0,10080.0,15058.0,0.0,0.0,0.0,True,4,True,1.0,NT-49-34,False
102,17,225.0,146.0,46.0,6.0,2.0,1.0,2.0,100.0,True,2,True,4.0,NT-51-36,False
103,18,0.0,0.0,0.0,10966.0,15973.0,0.0,0.0,1.0,True,4,True,1.0,NT-51-36,False
104,19,120.0,171.0,76.0,46.0,5.0,4.0,25.0,200.0,True,2,True,4.0,NT-53-38,False
105,20,0.0,0.0,0.0,10069.0,17210.0,0.0,0.0,0.0,True,4,True,1.0,NT-53-38,False
106,21,207.0,230.0,46.0,12.0,4.0,1.0,7.0,155.0,True,2,True,4.0,NT-55-40,False
