"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Exit,outcome
0,14.0,148.0,9.0,12.0,25.0,4.0,2.0,14.0,1,0,1
1,1.0,4.0,26.0,374.0,16823.0,25.0,14.0,57.0,1,0,1
2,40.0,154.0,13.0,14.0,22.0,4.0,2.0,15.0,1,0,1
3,63.0,133.0,12.0,20.0,27.0,5.0,2.0,16.0,1,0,1
4,34.0,141.0,9.0,50.0,47.0,13.0,4.0,14.0,1,0,1
5,0.0,57.0,84.0,212.0,11606.0,98.0,44.0,138.0,1,0,1
6,60.0,155.0,9.0,29.0,22.0,2.0,1.0,15.0,1,0,1
7,26.0,157.0,13.0,61.0,27.0,1.0,1.0,15.0,1,0,1
8,34.0,1756.0,14.0,7.0,3.0,1.0,1.0,11.0,1,0,0
9,75.0,3442.0,11.0,8.0,2.0,1.0,1.0,14.0,1,1,0
10,0.0,0.0,0.0,11104.0,16312.0,1.0,0.0,0.0,1,1,0
11,50.0,3468.0,6.0,7.0,1.0,0.0,1.0,15.0,1,1,0
12,0.0,0.0,0.0,8101.0,15436.0,1.0,0.0,1.0,1,1,0
13,93.0,3541.0,7.0,7.0,3.0,1.0,1.0,15.0,1,1,0
14,0.0,0.0,0.0,8350.0,18244.0,2.0,0.0,1.0,1,1,0
15,58.0,3331.0,9.0,7.0,3.0,1.0,0.0,16.0,1,1,0
16,87.0,3403.0,9.0,7.0,3.0,1.0,1.0,15.0,1,1,0
17,112.0,3065.0,9.0,8.0,2.0,1.0,1.0,15.0,1,1,0
18,83.0,272.0,14.0,30.0,29.0,1.0,1.0,12.0,1,0,1
19,1.0,138.0,133.0,265.0,14276.0,43.0,25.0,39.0,1,0,1
20,84.0,283.0,15.0,42.0,9.0,2.0,1.0,12.0,1,0,1
21,52.0,3973.0,8.0,6.0,2.0,1.0,1.0,11.0,1,0,1
22,0.0,0.0,0.0,5248.0,12015.0,0.0,0.0,0.0,1,1,1
23,52.0,310.0,18.0,33.0,16.0,2.0,1.0,12.0,1,0,1
24,40.0,337.0,15.0,100.0,7.0,1.0,1.0,13.0,1,0,1
25,51.0,313.0,23.0,61.0,43.0,2.0,2.0,16.0,1,0,1
26,2.0,224.0,112.0,160.0,14508.0,37.0,20.0,27.0,1,0,1
27,48.0,313.0,98.0,75.0,5.0,1.0,1.0,14.0,1,0,1
28,1.0,114.0,142.0,78.0,12075.0,14.0,29.0,50.0,1,0,1
29,89.0,3300.0,8.0,7.0,1.0,1.0,1.0,15.0,1,1,0
30,0.0,0.0,0.0,6313.0,15077.0,0.0,0.0,0.0,1,1,0
31,73.0,3244.0,8.0,6.0,1.0,1.0,1.0,16.0,1,1,0
32,0.0,0.0,0.0,7018.0,14569.0,1.0,1.0,3.0,1,1,0
33,163.0,3320.0,8.0,6.0,2.0,1.0,1.0,17.0,1,1,0
34,0.0,0.0,0.0,6832.0,14683.0,2.0,1.0,11.0,1,1,0
35,132.0,2814.0,8.0,8.0,3.0,1.0,1.0,16.0,1,1,0
36,0.0,0.0,0.0,7461.0,14296.0,0.0,0.0,1.0,1,1,0
37,86.0,2948.0,9.0,7.0,3.0,1.0,1.0,15.0,1,1,0
38,0.0,0.0,0.0,7293.0,14591.0,0.0,0.0,1.0,1,1,0
39,68.0,3269.0,8.0,7.0,2.0,1.0,1.0,14.0,1,1,0
40,41.0,197.0,18.0,16.0,18.0,4.0,2.0,30.0,1,0,1
41,0.0,496.0,25.0,62.0,9039.0,16.0,5.0,9.0,1,0,1
42,65.0,136.0,21.0,14.0,6.0,3.0,4.0,22.0,1,0,1
43,0.0,427.0,143.0,57.0,9516.0,14.0,6.0,6.0,1,0,1
44,64.0,205.0,11.0,33.0,12.0,7.0,10.0,31.0,1,0,1
45,0.0,399.0,503.0,73.0,9837.0,10.0,9.0,6.0,1,0,1
46,36.0,144.0,9.0,7.0,9.0,6.0,4.0,22.0,1,0,1
47,0.0,25.0,287.0,255.0,9102.0,12.0,66.0,16.0,1,0,1
48,60.0,206.0,39.0,30.0,13.0,7.0,8.0,23.0,1,0,1
49,0.0,51.0,227.0,4916.0,9756.0,23.0,82.0,129.0,1,0,1
50,75.0,150.0,51.0,52.0,9.0,4.0,9.0,20.0,1,0,1
51,5.0,20.0,91.0,2802.0,10862.0,24.0,46.0,161.0,1,0,1
52,123.0,1884.0,3.0,3.0,3.0,1.0,1.0,20.0,1,1,0
53,0.0,0.0,0.0,11508.0,12726.0,3.0,9.0,44.0,1,1,0
54,142.0,1805.0,5.0,4.0,2.0,1.0,1.0,22.0,1,1,0
55,0.0,0.0,0.0,11272.0,13215.0,2.0,1.0,18.0,1,1,0
56,125.0,2040.0,3.0,4.0,3.0,1.0,1.0,25.0,1,1,0
57,0.0,0.0,0.0,11284.0,13225.0,2.0,1.0,36.0,1,1,0
58,176.0,1774.0,5.0,5.0,2.0,1.0,1.0,24.0,1,1,0
59,0.0,0.0,0.0,11591.0,13430.0,2.0,1.0,31.0,1,1,0
60,64.0,1940.0,4.0,5.0,3.0,0.0,1.0,23.0,1,1,0
61,64.0,1786.0,4.0,5.0,2.0,1.0,1.0,20.0,1,1,0
62,42.0,1221.0,4.0,5.0,3.0,1.0,1.0,20.0,1,1,0
63,48.0,136.0,8.0,35.0,41.0,4.0,3.0,20.0,1,0,1
