"",index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
57,17,0.0,0.0,0.0,11284.0,13225.0,2.0,1.0,36.0,True,4,True,1.0,NT-34-44,False
58,18,176.0,1774.0,5.0,5.0,2.0,1.0,1.0,24.0,True,2,True,4.0,NT-36-46,False
59,19,0.0,0.0,0.0,11591.0,13430.0,2.0,1.0,31.0,True,4,True,1.0,NT-36-46,False
60,20,64.0,1940.0,4.0,5.0,3.0,0.0,1.0,23.0,True,2,True,4.0,NT-38-46,False
61,21,64.0,1786.0,4.0,5.0,2.0,1.0,1.0,20.0,True,2,True,4.0,NT-40-46,False
62,22,42.0,1221.0,4.0,5.0,3.0,1.0,1.0,20.0,True,2,True,4.0,NT-42-46,False
63,0,48.0,136.0,8.0,35.0,41.0,4.0,3.0,20.0,True,2,False,NaN,33-43,True
64,1,1.0,16.0,20.0,275.0,16547.0,64.0,41.0,81.0,True,4,False,NaN,33-43,True
65,2,38.0,175.0,10.0,279.0,97.0,8.0,3.0,15.0,True,2,False,NaN,35-45,True
66,3,0.0,18.0,23.0,221.0,7137.0,248.0,16.0,50.0,True,4,False,NaN,35-45,True
67,4,39.0,137.0,12.0,40.0,21.0,1.0,1.0,17.0,True,2,False,NaN,37-47,True
68,5,0.0,17.0,15.0,234.0,14561.0,47.0,31.0,115.0,True,4,False,NaN,37-47,True
69,6,71.0,148.0,8.0,46.0,45.0,2.0,2.0,13.0,True,2,False,NaN,39-49,True
70,7,1.0,24.0,21.0,612.0,15811.0,102.0,21.0,29.0,True,4,False,NaN,39-49,True
71,8,85.0,160.0,12.0,29.0,60.0,6.0,2.0,13.0,True,2,False,NaN,41-51,True
72,9,2.0,16.0,11.0,307.0,12031.0,59.0,12.0,20.0,True,4,False,NaN,41-51,True
73,10,29.0,137.0,11.0,46.0,27.0,4.0,6.0,15.0,True,2,False,NaN,43-53,True
74,11,1.0,18.0,31.0,203.0,5028.0,141.0,11.0,29.0,True,4,False,NaN,43-53,True
75,12,113.0,1760.0,10.0,6.0,3.0,1.0,1.0,16.0,True,2,True,4.0,NT-28-48,False
76,13,0.0,0.0,0.0,9909.0,13610.0,0.0,0.0,0.0,True,4,True,1.0,NT-28-48,False
77,14,82.0,1142.0,13.0,8.0,6.0,1.0,1.0,14.0,True,2,True,4.0,NT-30-50,False
78,15,98.0,1380.0,10.0,6.0,4.0,1.0,1.0,16.0,True,2,True,4.0,NT-35-55,False
79,16,0.0,0.0,0.0,10107.0,14213.0,0.0,0.0,0.0,True,4,True,1.0,NT-35-55,False
80,17,93.0,2074.0,13.0,8.0,4.0,1.0,1.0,14.0,True,2,True,4.0,NT-43-33,False
81,18,0.0,0.0,0.0,10262.0,13945.0,0.0,0.0,0.0,True,4,True,1.0,NT-43-33,False
82,19,118.0,1455.0,11.0,8.0,3.0,1.0,1.0,15.0,True,2,True,4.0,NT-45-30,False
83,20,0.0,0.0,0.0,10207.0,13497.0,0.0,0.0,0.0,True,4,True,1.0,NT-45-30,False
84,21,66.0,1775.0,11.0,8.0,3.0,1.0,1.0,15.0,True,2,True,4.0,NT-50-30,False
85,22,0.0,0.0,0.0,10040.0,13328.0,0.0,0.0,0.0,True,4,True,1.0,NT-50-30,False
86,23,125.0,1701.0,10.0,8.0,4.0,1.0,1.0,14.0,True,2,True,4.0,NT-55-30,False
87,24,0.0,0.0,0.0,10181.0,12925.0,0.0,0.0,0.0,True,4,True,1.0,NT-55-30,False
88,0,35.0,330.0,26.0,23.0,6.0,4.0,3.0,23.0,True,2,False,NaN,40-25,True
89,1,2.0,1147.0,31.0,63.0,10336.0,20.0,7.0,12.0,True,4,False,NaN,40-25,True
90,2,25.0,112.0,40.0,21.0,4.0,1.0,4.0,22.0,True,2,False,NaN,42-27,True
91,3,2.0,809.0,46.0,55.0,9473.0,15.0,4.0,15.0,True,4,False,NaN,42-27,True
92,4,45.0,334.0,18.0,9.0,4.0,2.0,2.0,28.0,True,2,False,NaN,44-29,True
93,5,0.0,1228.0,361.0,60.0,10340.0,21.0,6.0,5.0,True,4,False,NaN,44-29,True
94,6,60.0,207.0,41.0,16.0,4.0,3.0,2.0,20.0,True,2,False,NaN,46-31,True
95,7,1.0,38.0,1389.0,199.0,11383.0,23.0,56.0,22.0,True,4,False,NaN,46-31,True
96,8,51.0,760.0,30.0,5.0,2.0,1.0,1.0,18.0,True,2,False,NaN,48-33,True
97,9,0.0,17.0,258.0,1032.0,11047.0,1.0,2.0,8.0,True,4,False,NaN,48-33,True
98,10,41.0,190.0,1289.0,7.0,4.0,1.0,1.0,20.0,True,2,False,NaN,50-35,True
99,11,0.0,10.0,70.0,5574.0,10500.0,5.0,9.0,6.0,True,4,False,NaN,50-35,True
100,12,73.0,1128.0,5.0,5.0,3.0,1.0,1.0,21.0,True,2,True,4.0,NT-30-40,False
101,13,0.0,0.0,1.0,12855.0,13490.0,0.0,0.0,0.0,True,4,True,1.0,NT-30-40,False
102,14,59.0,1458.0,4.0,5.0,3.0,0.0,1.0,21.0,True,2,True,4.0,NT-32-42,False
103,15,0.0,0.0,0.0,12767.0,13552.0,1.0,0.0,0.0,True,4,True,1.0,NT-32-42,False
104,16,58.0,1843.0,5.0,5.0,3.0,0.0,0.0,21.0,True,2,True,4.0,NT-34-44,False
105,17,0.0,0.0,1.0,11464.0,12755.0,0.0,0.0,2.0,True,4,True,1.0,NT-34-44,False
106,18,83.0,1726.0,4.0,4.0,3.0,1.0,1.0,25.0,True,2,True,4.0,NT-36-46,False
107,19,0.0,0.0,0.0,10692.0,13972.0,1.0,1.0,2.0,True,4,True,1.0,NT-36-46,False
108,20,69.0,1935.0,5.0,5.0,3.0,0.0,0.0,27.0,True,2,True,4.0,NT-38-48,False
109,21,0.0,0.0,1.0,10314.0,14032.0,2.0,1.0,2.0,True,4,True,1.0,NT-38-48,False
110,22,157.0,395.0,3.0,4.0,2.0,0.0,0.0,18.0,True,2,True,4.0,NT-40-50,False
111,23,0.0,0.0,1.0,10430.0,13849.0,1.0,1.0,2.0,True,4,True,1.0,NT-40-50,False
112,24,131.0,455.0,3.0,4.0,3.0,1.0,1.0,23.0,True,2,True,4.0,NT-50-40,False
113,25,0.0,0.0,0.0,13137.0,13431.0,0.0,0.0,0.0,True,4,True,1.0,NT-50-40,False
