,index,bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Entry_point,Exit,Exit_point,path_label,outcome
87,1,109.0,54.0,13.0,29.0,8574.0,25.0,15.0,83.0,True,4,False,NaN,42-22,True
88,2,795.0,32.0,13.0,19.0,8.0,2.0,1.0,20.0,True,2,False,NaN,44-22,True
89,3,120.0,62.0,12.0,33.0,8469.0,31.0,21.0,73.0,True,4,False,NaN,44-22,True
90,4,1434.0,31.0,2.0,4.0,2.0,1.0,1.0,22.0,True,2,False,NaN,46-24,True
91,5,70.0,214.0,28.0,49.0,8991.0,34.0,25.0,48.0,True,4,False,NaN,46-24,True
92,6,666.0,36.0,15.0,9.0,16.0,17.0,12.0,25.0,True,2,False,NaN,48-24,True
93,7,118.0,253.0,10.0,21.0,8361.0,60.0,16.0,13.0,True,4,False,NaN,48-24,True
94,8,798.0,32.0,2.0,3.0,2.0,1.0,2.0,21.0,True,2,False,NaN,50-26,True
95,9,13.0,145.0,129.0,51.0,7487.0,8.0,11.0,8.0,True,4,False,NaN,50-26,True
96,10,829.0,33.0,7.0,6.0,7.0,5.0,5.0,19.0,True,2,False,NaN,52-26,True
97,11,20.0,140.0,347.0,76.0,7453.0,7.0,4.0,9.0,True,4,False,NaN,52-26,True
98,12,2573.0,55.0,2.0,2.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-30-34,False
99,13,1.0,0.0,0.0,10502.0,15243.0,1.0,0.0,0.0,True,4,True,1.0,NT-30-34,False
100,14,2878.0,65.0,3.0,2.0,0.0,0.0,0.0,21.0,True,2,True,4.0,NT-30-36,False
101,15,0.0,0.0,0.0,10244.0,15265.0,1.0,0.0,2.0,True,4,True,1.0,NT-30-36,False
102,16,3387.0,57.0,4.0,4.0,0.0,0.0,0.0,20.0,True,2,True,4.0,NT-30-38,False
103,17,1.0,0.0,0.0,10706.0,16356.0,0.0,0.0,1.0,True,4,True,1.0,NT-30-38,False
104,18,3082.0,52.0,3.0,2.0,1.0,0.0,0.0,22.0,True,2,True,4.0,NT-30-40,False
105,19,2742.0,42.0,3.0,3.0,1.0,0.0,1.0,21.0,True,2,True,4.0,NT-30-42,False
106,20,2588.0,48.0,2.0,2.0,1.0,0.0,0.0,19.0,True,2,True,4.0,NT-30-44,False
107,21,3704.0,107.0,38.0,8.0,4.0,0.0,0.0,24.0,True,2,True,4.0,NT-50-40,False
