"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Exit,outcome
0,1474.0,2001.0,3.0,3.0,2.0,0.0,0.0,24.0,True,True,True
1,3175.0,194.0,222.0,2307.0,4.0,0.0,0.0,0.0,True,True,True
2,1695.0,2840.0,1.0,0.0,1.0,0.0,0.0,18.0,True,True,True
3,1450.0,3775.0,370.0,2886.0,0.0,0.0,0.0,0.0,True,True,True
4,1342.0,1205.0,37.0,1.0,1.0,0.0,1.0,40.0,True,False,True
5,4497.0,428.0,370.0,2913.0,3.0,1.0,0.0,1.0,True,True,True
6,1419.0,986.0,23.0,2.0,4.0,0.0,1.0,16.0,True,False,True
7,135.0,4619.0,459.0,2847.0,2.0,0.0,0.0,0.0,True,True,True
8,1177.0,147.0,236.0,5.0,7.0,0.0,1.0,22.0,True,False,True
9,199.0,7768.0,436.0,3164.0,2.0,2.0,0.0,0.0,True,True,True
10,1463.0,72.0,386.0,5.0,8.0,2.0,4.0,10.0,True,False,True
11,302.0,6658.0,498.0,3251.0,3.0,5.0,1.0,23.0,True,True,True
12,4082.0,10.0,0.0,1.0,1.0,0.0,1.0,60.0,True,False,False
13,1797.0,406.0,266.0,2126.0,1.0,0.0,0.0,1.0,True,True,False
14,4648.0,9.0,0.0,1.0,2.0,1.0,1.0,54.0,True,False,False
15,2269.0,262.0,283.0,2197.0,1.0,1.0,1.0,1.0,True,True,False
16,5387.0,11.0,0.0,1.0,1.0,0.0,1.0,55.0,True,False,False
17,2196.0,375.0,279.0,2364.0,2.0,0.0,0.0,1.0,True,True,False
18,4159.0,14.0,0.0,1.0,2.0,0.0,1.0,59.0,True,False,False
19,2463.0,430.0,343.0,2442.0,1.0,1.0,0.0,0.0,True,True,False
20,4701.0,15.0,0.0,1.0,1.0,0.0,1.0,58.0,True,False,False
21,2200.0,477.0,426.0,2553.0,1.0,1.0,0.0,0.0,True,True,False
22,3882.0,11.0,0.0,1.0,1.0,0.0,1.0,57.0,True,False,False
23,3166.0,611.0,327.0,2777.0,1.0,1.0,0.0,1.0,True,True,False
24,2026.0,8.0,1.0,1.0,16.0,3.0,1.0,17.0,True,False,True
25,1.0,4343.0,2761.0,2401.0,10.0,1.0,0.0,0.0,True,True,True
26,1947.0,732.0,4.0,3.0,17.0,10.0,1.0,9.0,True,False,True
27,4.0,4132.0,2299.0,2165.0,6.0,0.0,0.0,0.0,True,True,True
28,1494.0,259.0,10.0,2.0,2.0,0.0,1.0,28.0,True,False,True
29,49.0,3918.0,2525.0,2304.0,5.0,0.0,1.0,0.0,True,True,True
30,1044.0,386.0,11.0,3.0,6.0,0.0,1.0,18.0,True,False,True
31,245.0,5473.0,452.0,1634.0,13.0,8.0,1.0,1.0,True,True,True
32,1589.0,2382.0,9.0,1.0,3.0,0.0,0.0,23.0,True,True,True
33,600.0,2293.0,403.0,1734.0,10.0,1.0,1.0,1.0,True,True,True
34,1616.0,1172.0,102.0,3.0,2.0,0.0,0.0,22.0,True,False,True
35,894.0,157.0,384.0,1801.0,67.0,15.0,2.0,2.0,True,True,True
36,5705.0,19.0,1.0,1.0,2.0,0.0,1.0,58.0,True,False,False
37,3211.0,562.0,344.0,1748.0,8.0,0.0,0.0,0.0,True,True,False
38,4388.0,12.0,0.0,1.0,1.0,0.0,1.0,58.0,True,False,False
39,3721.0,180.0,321.0,1809.0,17.0,0.0,0.0,0.0,True,True,False
40,4340.0,14.0,1.0,1.0,2.0,0.0,1.0,57.0,True,False,False
41,4791.0,437.0,393.0,2265.0,8.0,0.0,0.0,1.0,True,True,False
42,5186.0,12.0,1.0,1.0,2.0,0.0,1.0,61.0,True,False,False
43,4920.0,379.0,360.0,2201.0,18.0,1.0,1.0,11.0,True,True,False
44,4960.0,7.0,0.0,1.0,1.0,0.0,1.0,56.0,True,False,False
45,3684.0,409.0,383.0,2133.0,8.0,2.0,1.0,2.0,True,True,False
46,6337.0,17.0,1.0,1.0,1.0,0.0,1.0,54.0,True,False,False
47,2446.0,247.0,261.0,1650.0,13.0,2.0,1.0,3.0,True,True,False
48,1721.0,3469.0,5.0,1.0,2.0,0.0,0.0,11.0,True,True,True
49,1671.0,730.0,285.0,1068.0,16.0,0.0,0.0,0.0,True,True,True
50,1778.0,2426.0,44.0,2.0,1.0,0.0,0.0,25.0,True,True,True
51,1838.0,845.0,256.0,943.0,19.0,2.0,0.0,0.0,True,True,True
52,1289.0,1822.0,72.0,0.0,1.0,0.0,1.0,13.0,True,True,True
53,68.0,3371.0,285.0,979.0,7.0,0.0,0.0,0.0,True,True,True
54,1110.0,807.0,1677.0,1.0,1.0,0.0,1.0,12.0,True,False,True
55,2021.0,1354.0,314.0,1601.0,4.0,0.0,1.0,1.0,True,True,True
56,1348.0,156.0,2757.0,6.0,8.0,0.0,2.0,8.0,True,False,True
57,432.0,4903.0,355.0,1868.0,1.0,0.0,0.0,0.0,True,True,True
58,1638.0,37.0,3623.0,10.0,1.0,0.0,0.0,9.0,True,False,True
59,615.0,5489.0,355.0,1938.0,1.0,0.0,0.0,0.0,True,True,True
60,4052.0,12.0,0.0,1.0,1.0,0.0,1.0,55.0,True,False,False
61,313.0,154.0,224.0,1761.0,1.0,0.0,0.0,0.0,True,True,False
62,5077.0,12.0,0.0,1.0,1.0,0.0,1.0,57.0,True,False,False
63,820.0,154.0,234.0,1872.0,1.0,0.0,0.0,0.0,True,True,False
64,4964.0,13.0,1.0,1.0,2.0,0.0,1.0,58.0,True,False,False
65,383.0,154.0,422.0,1733.0,4.0,1.0,1.0,0.0,True,True,False
66,4754.0,13.0,0.0,1.0,1.0,0.0,1.0,58.0,True,False,False
67,831.0,196.0,381.0,1762.0,3.0,1.0,0.0,0.0,True,True,False
68,4356.0,5.0,1.0,1.0,2.0,0.0,1.0,56.0,True,False,False
69,1967.0,144.0,384.0,1687.0,3.0,0.0,0.0,1.0,True,True,False
70,4701.0,10.0,1.0,1.0,1.0,0.0,1.0,61.0,True,False,False
71,2757.0,103.0,427.0,1682.0,4.0,0.0,0.0,0.0,True,True,False
72,1875.0,3205.0,19.0,1.0,1.0,0.0,0.0,15.0,True,True,True
73,1931.0,1514.0,390.0,2354.0,23.0,26.0,1.0,1.0,True,True,True
74,1396.0,2506.0,91.0,1.0,1.0,0.0,0.0,21.0,True,True,True
75,1224.0,2892.0,290.0,2076.0,46.0,26.0,1.0,0.0,True,True,True
76,1322.0,2460.0,89.0,2.0,2.0,0.0,1.0,27.0,True,True,True
77,500.0,4819.0,382.0,2651.0,0.0,0.0,0.0,0.0,True,True,True
78,1566.0,2672.0,480.0,4.0,16.0,0.0,0.0,14.0,True,False,True
79,472.0,5528.0,347.0,2581.0,1.0,0.0,0.0,0.0,True,True,True
80,1260.0,1218.0,469.0,5.0,7.0,0.0,1.0,16.0,True,False,True
81,451.0,5438.0,446.0,2991.0,1.0,0.0,0.0,0.0,True,True,True
82,1364.0,467.0,1068.0,3.0,15.0,0.0,2.0,13.0,True,False,True
83,651.0,7585.0,473.0,3207.0,2.0,0.0,1.0,1.0,True,True,True
84,4643.0,3.0,0.0,1.0,1.0,0.0,1.0,66.0,True,False,False
